Product Name,SKU,Category
Smart Tablet,ELE-1,Electronics
Premium Pan,KIT-2,Kitchen
Deluxe Pot,KIT-3,Kitchen
Premium Eggs,FOO-4,Food
Smart Cheese,FOO-5,Food
Basic Socks,CLO-6,Clothing
Deluxe Bread,FOO-7,Food
Professional Lamp,HOM-8,Home
Smart Dress,CLO-9,Clothing
Standard Chair,HOM-10,Home
Professional Socks,CLO-11,Clothing
Professional Shirt,CLO-12,Clothing
Smart Fruit,FOO-13,Food
Professional Cheese,FOO-14,Food
Standard Cheese,FOO-15,Food
Standard Shirt,CLO-16,Clothing
Smart Tablet,ELE-17,Electronics
Deluxe Curtains,HOM-18,Home
n/a,CLO-19,Clothing
Smart Lamp,HOM-20,Home
Professional Pan,KIT-21,Kitchen
Smart Eggs,FOO-22,Food
Deluxe Hat,CLO-23,Clothing
Smart Eggs,FOO-24,Food
Basic Meat,FOO-25,Food
Basic TV,ELE-26,Electronics
Basic Pants,CLO-27,Clothing
Eco Bread,FOO-28,Food
Smart Rug,HOM-29,Home
Eco Dress,CLO-30,Clothing
Premium Rug,HOM-31,Home
Basic Socks,CLO-32,Clothing
Standard Pants,CLO-33,Clothing
Standard Pot,KIT-34,Kitchen
Standard Table,HOM-35,Home
Deluxe Pan,KIT-36,Kitchen
Professional Laptop,ELE-37,Electronics
Deluxe Pot,KIT-38,Kitchen
Eco Pants,CLO-39,Clothing
Eco Milk,FOO-40,Food
Smart Headphones,ELE-41,Electronics
Professional Milk,FOO-42,Food
Deluxe Camera,ELE-43,Electronics
Basic Kettle,KIT-44,Kitchen
Premium Table,HOM-45,Home
Eco Sofa,HOM-46,Home
Smart Toaster,KIT-47,Kitchen
Premium Headphones,ELE-48,Electronics
Smart Headphones,ELE-49,Electronics
Professional Curtains,HOM-50,Home
Basic Bread,FOO-51,Food
Deluxe Lamp,HOM-52,Home
Standard Pot,KIT-53,Kitchen
Standard Camera,ELE-54,Electronics
Premium Pants,CLO-55,Clothing
Smart Bread,FOO-56,Food
Standard Jacket,CLO-57,Clothing
Premium Laptop,ELE-58,Electronics
Deluxe Toaster,KIT-59,Kitchen
Deluxe Jacket,CLO-60,Clothing
Basic Chair,HOM-61,Home
Premium Tablet,ELE-62,Electronics
Premium TV,ELE-63,Electronics
Professional Chair,HOM-64,Home
Smart Socks,CLO-65,Clothing
Premium Dress,CLO-66,Clothing
Deluxe Tablet,ELE-67,Electronics
Deluxe Hat,CLO-68,Clothing
Premium Hat,CLO-69,Clothing
Standard Toaster,KIT-70,Kitchen
Basic Milk,FOO-71,Food
Eco Fruit,FOO-72,Food
Premium Pan,KIT-73,Kitchen
Premium Socks,CLO-74,Clothing
Eco Eggs,FOO-75,Food
Premium Chair,HOM-76,Home
Professional Camera,ELE-77,Electronics
Basic Pot,KIT-78,Kitchen
Smart Hat,CLO-79,Clothing
Professional Hat,CLO-80,Clothing
Premium Cheese,FOO-81,Food
Deluxe Socks,CLO-82,Clothing
Standard Bread,FOO-83,Food
Standard Rug,HOM-84,Home
Standard Kettle,KIT-85,Kitchen
Deluxe Cheese,FOO-86,Food
Deluxe Pot,KIT-87,Kitchen
Eco Curtains,HOM-88,Home
Premium Pot,KIT-89,Kitchen
Premium Socks,CLO-90,Clothing
Eco Toaster,KIT-91,Kitchen
Basic Table,HOM-92,Home
Professional Tablet,ELE-93,Electronics
Standard Laptop,ELE-94,Electronics
Basic Socks,CLO-95,Clothing
Basic Shirt,CLO-96,Clothing
Basic Lamp,HOM-97,Home
Deluxe Dress,CLO-98,Clothing
Professional Bread,FOO-99,Food
Deluxe Tablet,ELE-100,Electronics
